# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-11.5914787	1.153609911	1.450456019	1.257319311	3.776025278	3.476001453
-11.54135338	1.149942448	1.445988218	1.257443989	3.764020845	3.46529442
-11.49122807	1.146274985	1.441520418	1.257569464	3.752016411	3.454587386
-11.44110276	1.142607521	1.437052617	1.257695745	3.740011977	3.443880353
-11.39097744	1.138940058	1.432584817	1.257822839	3.728007544	3.43317332
-11.34085213	1.135272595	1.428117016	1.257950754	3.71600311	3.422466286
-11.29072682	1.131605132	1.423649216	1.258079498	3.703998676	3.411759253
-11.2406015	1.127937669	1.419181415	1.258209079	3.691994243	3.40105222
-11.19047619	1.124270206	1.414713615	1.258339506	3.679989809	3.390345187
-11.14035088	1.120602742	1.410245815	1.258470787	3.667985375	3.379638153
-11.09022556	1.116935279	1.405778014	1.258602929	3.655980942	3.36893112
-11.04010025	1.113267816	1.401310214	1.258735942	3.643976508	3.358224087
-10.98997494	1.109600353	1.396842413	1.258869835	3.631972075	3.347517053
-10.93984962	1.10593289	1.392374613	1.259004616	3.619967641	3.33681002
-10.88972431	1.102265427	1.387906812	1.259140293	3.607963207	3.326102987
-10.839599	1.098597963	1.383439012	1.259276876	3.595958774	3.315395953
-10.78947368	1.0949305	1.378971211	1.259414375	3.58395434	3.30468892
-10.73934837	1.091263037	1.374503411	1.259552797	3.571949906	3.293981887
-10.68922306	1.087595574	1.37003561	1.259692153	3.559945473	3.283274853
-10.63909774	1.083928111	1.36556781	1.259832452	3.547941039	3.27256782
-10.58897243	1.080260648	1.361100009	1.259973704	3.535936605	3.261860787
-10.53884712	1.076593184	1.356632209	1.260115918	3.523932172	3.251153754
-10.4887218	1.072925721	1.352164409	1.260259104	3.511927738	3.24044672
-10.43859649	1.069258258	1.347696608	1.260403273	3.499923305	3.229739687
-10.38847118	1.065590795	1.343228808	1.260548434	3.487918871	3.219032654
-10.33834586	1.061923332	1.338761007	1.260694597	3.475914437	3.20832562
-10.28822055	1.058255869	1.334293207	1.260841774	3.463910004	3.197618587
-10.23809524	1.054588405	1.329825406	1.260989974	3.45190557	3.186911554
-10.18796992	1.050920942	1.325357606	1.261139209	3.439901136	3.17620452
-10.13784461	1.047253479	1.320889805	1.261289489	3.427896703	3.165497487
-10.0877193	1.043586016	1.316422005	1.261440825	3.415892269	3.154790454
-10.03759398	1.039918553	1.311954204	1.261593228	3.403887835	3.14408342
-9.987468672	1.03625109	1.307486404	1.261746711	3.391883402	3.133376387
-9.937343358	1.032583626	1.303018603	1.261901283	3.379878968	3.122669354
-9.887218045	1.028916163	1.298550803	1.262056958	3.367874535	3.11196232
-9.837092732	1.0252487	1.294083002	1.262213746	3.355870101	3.101255287
-9.786967419	1.021581237	1.289615202	1.26237166	3.343865667	3.090548254
-9.736842105	1.017913774	1.285147402	1.262530712	3.331861234	3.079841221
-9.686716792	1.014246311	1.280679601	1.262690914	3.3198568	3.069134187
-9.636591479	1.010578847	1.276211801	1.262852279	3.307852366	3.058427154
-9.586466165	1.006911384	1.271744	1.263014819	3.295847933	3.047720121
-9.536340852	1.003243921	1.2672762	1.263178548	3.283843499	3.037013087
-9.486215539	0.9995764579	1.262808399	1.263343478	3.271839066	3.026306054
