# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-10.93984962	0.2906979103	0.4398137577	1.512958099	1	1.109498771
-10.88972431	0.2906979103	0.439614875	1.512273943	1	1.108997059
-10.839599	0.2906979103	0.4394159923	1.511589787	1	1.108495346
-10.78947368	0.2906979103	0.4392171096	1.510905631	1	1.107993633
-10.73934837	0.2906979103	0.4390182269	1.510221475	1	1.107491921
-10.68922306	0.2906979103	0.4388193443	1.509537319	1	1.106990208
-10.63909774	0.2906979103	0.4386204616	1.508853163	1	1.106488496
-10.58897243	0.2906979103	0.4384215789	1.508169008	1	1.105986783
-10.53884712	0.2906979103	0.4382226962	1.507484852	1	1.105485071
-10.4887218	0.2906979103	0.4380238135	1.506800696	1	1.104983358
-10.43859649	0.2906979103	0.4378249308	1.50611654	1	1.104481645
-10.38847118	0.2906979103	0.4376260481	1.505432384	1	1.103979933
-10.33834586	0.2906979103	0.4374271655	1.504748228	1	1.10347822
-10.28822055	0.2906979103	0.4372282828	1.504064072	1	1.102976508
-10.23809524	0.2906979103	0.4370294001	1.503379916	1	1.102474795
-10.18796992	0.2906979103	0.4368305174	1.50269576	1	1.101973082
-10.13784461	0.2906979103	0.4366316347	1.502011605	1	1.10147137
-10.0877193	0.2906979103	0.436432752	1.501327449	1	1.100969657
-10.03759398	0.2906979103	0.4362338693	1.500643293	1	1.100467945
-9.987468672	0.2906979103	0.4360349866	1.499959137	1	1.099966232
-9.937343358	0.2906979103	0.435836104	1.499274981	1	1.09946452
-9.887218045	0.2906979103	0.4356372213	1.498590825	1	1.098962807
-9.837092732	0.2906979103	0.4354383386	1.497906669	1	1.098461094
-9.786967419	0.2906979103	0.4352394559	1.497222513	1	1.097959382
-9.736842105	0.2906979103	0.4350405732	1.496538358	1	1.097457669
-9.686716792	0.2906979103	0.4348416905	1.495854202	1	1.096955957
-9.636591479	0.2906979103	0.4346428078	1.495170046	1	1.096454244
-9.586466165	0.2906979103	0.4344439252	1.49448589	1	1.095952531
