# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.46153846	-0.3333333333	0.5507881678	0.6426013956	1.166694263	3.444731072	3.433894832
-13.46153846	-0.2820512821	0.575504406	0.6714428781	1.16670328	3.599310997	3.588016218
-13.46153846	-0.2307692308	0.6002206441	0.7002843605	1.166711554	3.753890922	3.742137603
-13.46153846	-0.1794871795	0.6249368822	0.7291258429	1.166719174	3.908470846	3.896258989
-13.46153846	-0.1282051282	0.6496531204	0.7579673254	1.166726214	4.063050771	4.050380374
-13.46153846	-0.07692307692	0.6743693585	0.7868088078	1.166732738	4.217630696	4.20450176
-13.46153846	-0.02564102564	0.6990855967	0.8156502902	1.1667388	4.372210621	4.358623146
-13.46153846	0.02564102564	0.7238018348	0.8444917727	1.166744449	4.526790545	4.512744531
-13.46153846	0.07692307692	0.748518073	0.8733332551	1.166749724	4.68137047	4.666865917
-13.46153846	0.1282051282	0.7732343111	0.9021747375	1.166754662	4.835950395	4.820987302
-13.46153846	0.1794871795	0.7979505493	0.93101622	1.166759295	4.990530319	4.975108688
-13.46153846	0.2307692308	0.8226667874	0.9598577024	1.166763649	5.145110244	5.129230074
-13.46153846	0.2820512821	0.8473830255	0.9886991848	1.166767749	5.299690169	5.283351459
-13.46153846	0.3333333333	0.8720992637	1.017540667	1.166771616	5.454270094	5.437472845
-13.46153846	0.3846153846	0.8968155018	1.04638215	1.16677527	5.608850018	5.59159423
-13.46153846	0.4358974359	0.92153174	1.075223632	1.166778729	5.763429943	5.745715616
-13.46153846	0.4871794872	0.9462479781	1.104065115	1.166782007	5.918009868	5.899837002
-13.46153846	0.5384615385	0.9709642163	1.132906597	1.166785117	6.072589793	6.053958387
